,t=1,t=1,t=1,t=1,t=2,t=2,t=2,t=2,t=3,t=3,t=3,t=3,t=4,t=4,t=4,t=4,t=5,t=5,t=5,t=5,t=6,t=6,t=6,t=6,t=7,t=7,t=7,t=7,t=8,t=8,t=8,t=8,t=9,t=9,t=9,t=9,t=10,t=10,t=10,t=10,t=11,t=11,t=11,t=11,t=12,t=12,t=12,t=12,t=13,t=13,t=13,t=13,t=14,t=14,t=14,t=14,t=15,t=15,t=15,t=15,t=16,t=16,t=16,t=16,t=17,t=17,t=17,t=17,t=18,t=18,t=18,t=18,t=19,t=19,t=19,t=19,t=20,t=20,t=20,t=20,t=21,t=21,t=21,t=21,t=22,t=22,t=22,t=22,t=23,t=23,t=23,t=23,t=24,t=24,t=24,t=24
prosumers,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound
1,0,0,-0.29,-0.22,0,0,-0.29,-0.22,0,0,-0.29,-0.22,0,0,-0.29,-0.22,0,0,-0.29,-0.22,0,0,-0.8,-0.61,0,0.0046,-1.7,-1.31,0,0.137,-1.43,-1.1,0,0.644,-0.37,-0.29,0,0.602,-0.29,-0.22,0,0.83993,-0.29,-0.22,0,1.72224,-0.29,-0.22,0,1.855,-0.29,-0.22,0,1.742,-2.25,-1.73,0,1.58,-2.05,-1.58,0,1.21,-0.507,-0.39,0,0.957,-0.56,-0.43,0,0.596,-1.69,-1.3,0,0.135,-2.6,-2,0,0.00476,-2.6,-2,0,0,-1.87,-1.44,0,0,-1.06,-0.82,0,0,-0.96,-0.74,0,0,-1,-0.77
2,0,0,-0.435,-0.33,0,0,-0.435,-0.33,0,0,-0.435,-0.33,0,0,-0.435,-0.33,0,0,-0.435,-0.33,0,0,-1.2,-0.915,0,0.005,-2.55,-1.965,0,0.232,-2.13,-1.65,0,0.524,-0.555,-0.435,0,0.845,-0.435,-0.33,0,0.92564,-0.435,-0.33,0,2.0655,-0.435,-0.33,0,2.5824,-0.435,-0.33,0,2.4765,-3.375,-2.595,0,1.875,-3,-2.37,0,1.367,-0.75,-0.585,0,0.9,-0.84,-0.645,0,0.698,-2.535,-1.95,0,0.08,-3.9,-3,0,0,-3.9,-3,0,0,-2.85,-2.16,0,0,-1.65,-1.23,0,0,-1.455,-1.11,0,0,-1.5,-1.155
3,0,0,-0.182,-0.14,0,0,-0.182,-0.14,0,0,-0.182,-0.14,0,0,-0.182,-0.14,0,0,-0.182,-0.14,0,0,-0.5,-0.39,0,0.0046,-1.1,-0.86,0,0.137,-0.94,-0.75,0,0.644,-0.3,-0.22,0,0.602,-0.18,-0.14,0,0.83993,-0.18,-0.14,0,1.72224,-0.18,-0.14,0,1.855,-0.18,-0.14,0,1.742,-1.45,-1.16,0,1.58,-1.5,-1.2,0,1.21,-0.32,-0.26,0,0.957,-0.48,-0.38,0,0.596,-1.2,-0.96,0,0.135,-1.7,-1.36,0,0.00476,-1.43,-1.1,0,0,-1.4,-1.08,0,0,-0.73,-0.56,0,0,-0.69,-0.53,0,0,-0.72,-0.55
4,0,0,-1.079,-0.83,0,0,-1.079,-0.83,0,0,-1.079,-0.83,0,0,-1.079,-0.83,0,0,-1.079,-0.83,0,0,-1.43,-1.1,0,0.0046,-1.547,-1.19,0,0.137,-1.547,-1.19,0,0.644,-1.2428,-0.956,0,0.602,-1.079,-0.83,0,0.83993,-1.079,-0.83,0,1.72224,-1.079,-0.83,0,1.855,-1.079,-0.83,0,1.742,-1.8655,-1.435,0,1.58,-1.7875,-1.375,0,1.21,-0.507,-0.39,0,0.957,-0.559,-0.43,0,0.596,-0.819,-0.63,0,0.135,-1.3156,-1.012,0,0.00476,-1.703,-1.31,0,0,-1.703,-1.31,0,0,-1.196,-0.92,0,0,-1.0166,-0.782,0,0,-0.923,-0.71
5,0,0,-2.171,-1.67,0,0,-2.171,-1.67,0,0,-2.171,-1.67,0,0,-2.171,-1.67,0,0,-2.171,-1.67,0,0,-2.4245,-1.865,0,0.005,-2.1775,-1.675,0,0.232,-2.1775,-1.675,0,0.524,-1.55766,-1.1982,0,0.845,-2.171,-1.67,0,0.92564,-2.171,-1.67,0,2.0655,-2.171,-1.67,0,2.5824,-2.171,-1.67,0,2.4765,-2.171,-1.67,0,1.875,-2.3166,-1.782,0,1.367,-0.7605,-0.585,0,0.9,-0.8385,-0.645,0,0.698,-0.9568,-0.736,0,0.08,-0.6968,-0.536,0,0,-1.2064,-0.928,0,0,-1.2064,-0.928,0,0,-1.1336,-0.872,0,0,-0.741,-0.57,0,0,-0.65,-0.5
6,0,0,-1.157,-0.89,0,0,-1.157,-0.89,0,0,-1.157,-0.89,0,0,-1.157,-0.89,0,0,-1.157,-0.89,0,0,-1.859,-1.43,0,0.0046,-2.132,-1.64,0,0.137,-2.132,-1.64,0,0.644,-2.171,-1.67,0,0.602,-1.157,-0.89,0,0.83993,-1.157,-0.89,0,1.72224,-1.157,-0.89,0,1.855,-1.157,-0.89,0,1.742,-2.496,-1.92,0,1.58,-2.6832,-2.064,0,1.21,-0.338,-0.26,0,0.957,-0.494,-0.38,0,0.596,-0.4771,-0.367,0,0.135,-0.30732,-0.2364,0,0.00476,-0.5525,-0.425,0,0,-0.5525,-0.425,0,0,-0.806,-0.62,0,0,-0.793,-0.61,0,0,-0.6539,-0.503
7,0,0,-1.248,-0.96,0,0,-1.248,-0.96,0,0,-1.248,-0.96,0,0,-1.248,-0.96,0,0,-1.248,-0.96,0,0,-1.274,-0.98,0,0.0046,-1.6042,-1.234,0,0.137,-1.6042,-1.234,0,0.644,-1.1661,-0.897,0,0.602,-1.248,-0.96,0,0.83993,-1.248,-0.96,0,1.72224,-1.248,-0.96,0,1.855,-1.248,-0.96,0,1.742,-2.535,-1.95,0,1.58,-1.716,-1.32,0,1.21,-0.507,-0.39,0,0.957,-0.559,-0.43,0,0.596,-1.2194,-0.938,0,0.135,-1.4612,-1.124,0,0.00476,-1.56,-1.2,0,0,-1.56,-1.2,0,0,-1.274,-0.98,0,0,-0.962,-0.74,0,0,-0.793,-0.61
8,0,0,-0.728,-0.56,0,0,-0.728,-0.56,0,0,-0.728,-0.56,0,0,-0.728,-0.56,0,0,-0.728,-0.56,0,0,-1.131,-0.87,0,0.005,-1.43,-1.1,0,0.232,-1.43,-1.1,0,0.524,-1.2831,-0.987,0,0.845,-0.728,-0.56,0,0.92564,-0.728,-0.56,0,2.0655,-0.728,-0.56,0,2.5824,-0.728,-0.56,0,2.4765,-1.0257,-0.789,0,1.875,-1.43,-1.1,0,1.367,-0.7605,-0.585,0,0.9,-0.8385,-0.645,0,0.698,-0.31018,-0.2386,0,0.08,-0.56576,-0.4352,0,0,-0.871,-0.67,0,0,-0.871,-0.67,0,0,-0.806,-0.62,0,0,-0.845,-0.65,0,0,-0.6175,-0.475
9,0,0,-0.3588,-0.276,0,0,-0.3588,-0.276,0,0,-0.3588,-0.276,0,0,-0.3588,-0.276,0,0,-0.3588,-0.276,0,0,-0.3341,-0.257,0,0.0046,-1.1661,-0.897,0,0.137,-1.1661,-0.897,0,0.644,-1.2259,-0.943,0,0.602,-0.3588,-0.276,0,0.83993,-0.3588,-0.276,0,1.72224,-0.3588,-0.276,0,1.855,-0.3588,-0.276,0,1.742,-0.8437,-0.649,0,1.58,-0.9425,-0.725,0,1.21,-0.338,-0.26,0,0.957,-0.494,-0.38,0,0.596,-0.829296,-0.63792,0,0.135,-0.8216,-0.632,0,0.00476,-1.131,-0.87,0,0,-1.131,-0.87,0,0,-0.9919,-0.763,0,0,-0.754,-0.58,0,0,-0.3549,-0.273
