,t=1,t=1,t=1,t=1,t=2,t=2,t=2,t=2,t=3,t=3,t=3,t=3,t=4,t=4,t=4,t=4,t=5,t=5,t=5,t=5,t=6,t=6,t=6,t=6,t=7,t=7,t=7,t=7,t=8,t=8,t=8,t=8,t=9,t=9,t=9,t=9,t=10,t=10,t=10,t=10,t=11,t=11,t=11,t=11,t=12,t=12,t=12,t=12,t=13,t=13,t=13,t=13,t=14,t=14,t=14,t=14,t=15,t=15,t=15,t=15,t=16,t=16,t=16,t=16,t=17,t=17,t=17,t=17,t=18,t=18,t=18,t=18,t=19,t=19,t=19,t=19,t=20,t=20,t=20,t=20,t=21,t=21,t=21,t=21,t=22,t=22,t=22,t=22,t=23,t=23,t=23,t=23,t=24,t=24,t=24,t=24
prosumers,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound
1,0,0,-0.377,-0.286,0,0,-0.377,-0.286,0,0,-0.377,-0.286,0,0,-0.377,-0.286,0,0,-0.377,-0.286,0,0,-1.04,-0.793,0,0.0046,-2.21,-1.703,0,0.01257,-1.859,-1.43,0,0.1015,-0.481,-0.377,0,0.53468,-0.377,-0.286,0,0.704,-0.377,-0.286,0,0.401,-0.377,-0.286,0,1.117,-0.377,-0.286,0,0.96955,-2.925,-2.249,0,0.742,-2.665,-2.054,0,0.182,-0.6591,-0.507,0,0.04543,-0.728,-0.559,0,0,-2.197,-1.69,0,0,-3.38,-2.6,0,0,-3.38,-2.6,0,0,-2.431,-1.872,0,0,-1.378,-1.066,0,0,-1.248,-0.962,0,0,-1.3,-1.001
2,0,0,-0.5655,-0.429,0,0,-0.5655,-0.429,0,0,-0.5655,-0.429,0,0,-0.5655,-0.429,0,0,-0.5655,-0.429,0,0,-1.56,-1.1895,0,0.005,-3.315,-2.5545,0,0.0245,-2.769,-2.145,0,0.524,-0.7215,-0.5655,0,0.845,-0.5655,-0.429,0,0.92564,-0.5655,-0.429,0,1.014,-0.5655,-0.429,0,1.672,-0.5655,-0.429,0,1.1002,-4.3875,-3.3735,0,0.901,-3.9,-3.081,0,0.322,-0.975,-0.7605,0,0.1002,-1.092,-0.8385,0,0,-3.2955,-2.535,0,0,-5.07,-3.9,0,0,-5.07,-3.9,0,0,-3.705,-2.808,0,0,-2.145,-1.599,0,0,-1.8915,-1.443,0,0,-1.95,-1.5015
3,0,0,-0.2366,-0.182,0,0,-0.2366,-0.182,0,0,-0.2366,-0.182,0,0,-0.2366,-0.182,0,0,-0.2366,-0.182,0,0,-0.65,-0.507,0,0.0046,-1.43,-1.118,0,0.01257,-1.222,-0.975,0,0.1015,-0.39,-0.286,0,0.602,-0.234,-0.182,0,0.83993,-0.234,-0.182,0,0.401,-0.234,-0.182,0,1.117,-0.234,-0.182,0,0.96955,-1.885,-1.508,0,0.742,-1.95,-1.56,0,0.182,-0.416,-0.338,0,0.04543,-0.624,-0.494,0,0,-1.56,-1.248,0,0,-2.21,-1.768,0,0,-1.859,-1.43,0,0,-1.82,-1.404,0,0,-0.949,-0.728,0,0,-0.897,-0.689,0,0,-0.936,-0.715
4,0,0,-1.4027,-1.079,0,0,-1.4027,-1.079,0,0,-1.4027,-1.079,0,0,-1.4027,-1.079,0,0,-1.4027,-1.079,0,0,-1.859,-1.43,0,0.0046,-2.0111,-1.547,0,0.01257,-2.0111,-1.547,0,0.1015,-1.61564,-1.2428,0,0.602,-1.4027,-1.079,0,0.704,-1.4027,-1.079,0,0.401,-1.4027,-1.079,0,1.117,-1.4027,-1.079,0,0.96955,-2.42515,-1.8655,0,0.742,-2.32375,-1.7875,0,0.182,-0.6591,-0.507,0,0.04543,-0.7267,-0.559,0,0,-1.0647,-0.819,0,0,-1.71028,-1.3156,0,0,-2.2139,-1.703,0,0,-2.2139,-1.703,0,0,-1.5548,-1.196,0,0,-1.32158,-1.0166,0,0,-1.1999,-0.923
5,0,0,-2.8223,-2.171,0,0,-2.8223,-2.171,0,0,-2.8223,-2.171,0,0,-2.8223,-2.171,0,0,-2.8223,-2.171,0,0,-3.15185,-2.4245,0,0.005,-2.83075,-2.1775,0,0.232,-2.83075,-2.1775,0,0.524,-2.024958,-1.55766,0,0.845,-2.8223,-2.171,0,0.92564,-2.8223,-2.171,0,1.014,-2.8223,-2.171,0,1.672,-2.8223,-2.171,0,1.1002,-2.8223,-2.171,0,0.901,-3.01158,-2.3166,0,0.322,-0.98865,-0.7605,0,0.1002,-1.09005,-0.8385,0,0,-1.24384,-0.9568,0,0,-0.90584,-0.6968,0,0,-1.56832,-1.2064,0,0,-1.56832,-1.2064,0,0,-1.47368,-1.1336,0,0,-0.9633,-0.741,0,0,-0.845,-0.65
6,0,0,-1.5041,-1.157,0,0,-1.5041,-1.157,0,0,-1.5041,-1.157,0,0,-1.5041,-1.157,0,0,-1.5041,-1.157,0,0,-2.4167,-1.859,0,0.0046,-2.7716,-2.132,0,0.01257,-2.7716,-2.132,0,0.1015,-2.8223,-2.171,0,0.602,-1.5041,-1.157,0,0.83993,-1.5041,-1.157,0,0.401,-1.5041,-1.157,0,1.117,-1.5041,-1.157,0,0.96955,-3.2448,-2.496,0,0.742,-3.48816,-2.6832,0,0.182,-0.4394,-0.338,0,0.04543,-0.6422,-0.494,0,0,-0.62023,-0.4771,0,0,-0.399516,-0.30732,0,0,-0.71825,-0.5525,0,0,-0.71825,-0.5525,0,0,-1.0478,-0.806,0,0,-1.0309,-0.793,0,0,-0.85007,-0.6539
7,0,0,-1.6224,-1.248,0,0,-1.6224,-1.248,0,0,-1.6224,-1.248,0,0,-1.6224,-1.248,0,0,-1.6224,-1.248,0,0,-1.6562,-1.274,0,0.0046,-2.08546,-1.6042,0,0.01257,-2.08546,-1.6042,0,0.1015,-1.51593,-1.1661,0,0.602,-1.6224,-1.248,0,0.704,-1.6224,-1.248,0,0.401,-1.6224,-1.248,0,1.117,-1.6224,-1.248,0,0.96955,-3.2955,-2.535,0,0.742,-2.2308,-1.716,0,0.182,-0.6591,-0.507,0,0.04543,-0.7267,-0.559,0,0,-1.58522,-1.2194,0,0,-1.89956,-1.4612,0,0,-2.028,-1.56,0,0,-2.028,-1.56,0,0,-1.6562,-1.274,0,0,-1.2506,-0.962,0,0,-1.0309,-0.793
8,0,0,-0.9464,-0.728,0,0,-0.9464,-0.728,0,0,-0.9464,-0.728,0,0,-0.9464,-0.728,0,0,-0.9464,-0.728,0,0,-1.4703,-1.131,0,0.005,-1.859,-1.43,0,0.232,-1.859,-1.43,0,0.524,-1.66803,-1.2831,0,0.845,-0.9464,-0.728,0,0.92564,-0.9464,-0.728,0,1.014,-0.9464,-0.728,0,1.672,-0.9464,-0.728,0,1.1002,-1.33341,-1.0257,0,0.901,-1.859,-1.43,0,0.322,-0.98865,-0.7605,0,0.1002,-1.09005,-0.8385,0,0,-0.403234,-0.31018,0,0,-0.735488,-0.56576,0,0,-1.1323,-0.871,0,0,-1.1323,-0.871,0,0,-1.0478,-0.806,0,0,-1.0985,-0.845,0,0,-0.80275,-0.6175
9,0,0,-0.46644,-0.3588,0,0,-0.46644,-0.3588,0,0,-0.46644,-0.3588,0,0,-0.46644,-0.3588,0,0,-0.46644,-0.3588,0,0,-0.43433,-0.3341,0,0.0046,-1.51593,-1.1661,0,0.01257,-1.51593,-1.1661,0,0.1015,-1.59367,-1.2259,0,0.602,-0.46644,-0.3588,0,0.83993,-0.46644,-0.3588,0,0.401,-0.46644,-0.3588,0,1.117,-0.46644,-0.3588,0,0.96955,-1.09681,-0.8437,0,0.742,-1.22525,-0.9425,0,0.182,-0.4394,-0.338,0,0.04543,-0.6422,-0.494,0,0,-1.0780848,-0.829296,0,0,-1.06808,-0.8216,0,0,-1.4703,-1.131,0,0,-1.4703,-1.131,0,0,-1.28947,-0.9919,0,0,-0.9802,-0.754,0,0,-0.46137,-0.3549
