,t=1,t=1,t=1,t=1,t=2,t=2,t=2,t=2,t=3,t=3,t=3,t=3,t=4,t=4,t=4,t=4,t=5,t=5,t=5,t=5,t=6,t=6,t=6,t=6,t=7,t=7,t=7,t=7,t=8,t=8,t=8,t=8,t=9,t=9,t=9,t=9,t=10,t=10,t=10,t=10,t=11,t=11,t=11,t=11,t=12,t=12,t=12,t=12,t=13,t=13,t=13,t=13,t=14,t=14,t=14,t=14,t=15,t=15,t=15,t=15,t=16,t=16,t=16,t=16,t=17,t=17,t=17,t=17,t=18,t=18,t=18,t=18,t=19,t=19,t=19,t=19,t=20,t=20,t=20,t=20,t=21,t=21,t=21,t=21,t=22,t=22,t=22,t=22,t=23,t=23,t=23,t=23,t=24,t=24,t=24,t=24
prosumers,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound
1,0,0,-0.203,-0.154,0,0,-0.203,-0.154,0,0,-0.203,-0.154,0,0,-0.203,-0.154,0,0,-0.203,-0.154,0,0,-0.56,-0.427,0,0.06111,-1.19,-0.917,0,0.393,-1.001,-0.77,0,0.823,-0.259,-0.203,0,1.219,-0.203,-0.154,0,1.565,-0.203,-0.154,0,1.781,-0.203,-0.154,0,1.889,-0.203,-0.154,0,1.878,-1.575,-1.211,0,1.765,-1.435,-1.106,0,1.542,-0.3549,-0.273,0,1.212,-0.392,-0.301,0,0.783,-1.183,-0.91,0,0.328,-1.82,-1.4,0,0.06,-1.82,-1.4,0,0,-1.309,-1.008,0,0,-0.742,-0.574,0,0,-0.672,-0.518,0,0,-0.7,-0.539
2,0,0,-0.3045,-0.231,0,0,-0.3045,-0.231,0,0,-0.3045,-0.231,0,0,-0.3045,-0.231,0,0,-0.3045,-0.231,0,0,-0.84,-0.6405,0,0.0972,-1.785,-1.3755,0,0.572,-1.491,-1.155,0,1.02,-0.3885,-0.3045,0,1.574,-0.3045,-0.231,0,1.763,-0.3045,-0.231,0,2.354,-0.3045,-0.231,0,2.674,-0.3045,-0.231,0,2.602,-2.3625,-1.8165,0,2.345,-2.1,-1.659,0,2.109,-0.525,-0.4095,0,1.872,-0.588,-0.4515,0,1.342,-1.7745,-1.365,0,0.872,-1.7745,-1.24215,0,0.367,-2.73,-2.1,0,0,-1.995,-1.512,0,0,-1.155,-0.861,0,0,-1.0185,-0.777,0,0,-1.05,-0.8085
3,0,0,-0.1274,-0.098,0,0,-0.1274,-0.098,0,0,-0.1274,-0.098,0,0,-0.1274,-0.098,0,0,-0.1274,-0.098,0,0,-0.35,-0.273,0,0.06111,-0.77,-0.602,0,0.393,-0.658,-0.525,0,0.823,-0.21,-0.154,0,1.219,-0.126,-0.098,0,1.565,-0.126,-0.098,0,1.781,-0.126,-0.098,0,1.889,-0.126,-0.098,0,1.878,-1.015,-0.812,0,1.765,-1.05,-0.84,0,1.542,-0.224,-0.182,0,1.212,-0.336,-0.266,0,0.783,-0.84,-0.672,0,0.328,-0.84,-0.588,0,0.06,-1.001,-0.77,0,0,-0.98,-0.756,0,0,-0.511,-0.392,0,0,-0.483,-0.371,0,0,-0.504,-0.385
4,0,0,-0.7553,-0.581,0,0,-0.7553,-0.581,0,0,-0.7553,-0.581,0,0,-0.7553,-0.581,0,0,-0.7553,-0.581,0,0,-1.001,-0.77,0,0.06111,-1.0829,-0.833,0,0.393,-1.0829,-0.833,0,0.823,-0.86996,-0.6692,0,1.219,-0.7553,-0.581,0,1.565,-0.7553,-0.581,0,1.781,-0.7553,-0.581,0,1.889,-0.7553,-0.581,0,1.878,-1.30585,-1.0045,0,1.765,-1.25125,-0.9625,0,1.542,-0.3549,-0.273,0,1.212,-0.3913,-0.301,0,0.783,-0.5733,-0.441,0,0.328,-0.5733,-0.40131,0,0.06,-1.1921,-0.917,0,0,-1.1921,-0.917,0,0,-0.8372,-0.644,0,0,-0.71162,-0.5474,0,0,-0.6461,-0.497
5,0,0,-1.5197,-1.169,0,0,-1.5197,-1.169,0,0,-1.5197,-1.169,0,0,-1.5197,-1.169,0,0,-1.5197,-1.169,0,0,-1.69715,-1.3055,0,0.0972,-1.52425,-1.1725,0,0.572,-1.52425,-1.1725,0,1.02,-1.090362,-0.83874,0,1.574,-1.5197,-1.169,0,1.763,-1.5197,-1.169,0,1.989,-1.5197,-1.169,0,2.674,-1.5197,-1.169,0,2.602,-1.5197,-1.169,0,2.345,-1.62162,-1.2474,0,2.109,-0.53235,-0.4095,0,1.872,-0.58695,-0.4515,0,1.342,-0.66976,-0.5152,0,0.872,-0.66976,-0.3752,0,0.367,-0.84448,-0.6496,0,0,-0.84448,-0.6496,0,0,-0.79352,-0.6104,0,0,-0.5187,-0.399,0,0,-0.455,-0.35
6,0,0,-0.8099,-0.623,0,0,-0.8099,-0.623,0,0,-0.8099,-0.623,0,0,-0.8099,-0.623,0,0,-0.8099,-0.623,0,0,-1.3013,-1.001,0,0.06111,-1.4924,-1.148,0,0.393,-1.4924,-1.148,0,0.823,-1.5197,-1.169,0,1.219,-0.8099,-0.623,0,1.565,-0.8099,-0.623,0,1.781,-0.8099,-0.623,0,1.889,-0.8099,-0.623,0,1.878,-1.7472,-1.344,0,1.765,-1.87824,-1.4448,0,1.542,-0.2366,-0.182,0,1.212,-0.3458,-0.266,0,0.783,-0.33397,-0.2569,0,0.328,-0.33397,-0.16548,0,0.06,-0.38675,-0.2975,0,0,-0.38675,-0.2975,0,0,-0.5642,-0.434,0,0,-0.5551,-0.427,0,0,-0.45773,-0.3521
7,0,0,-0.8736,-0.672,0,0,-0.8736,-0.672,0,0,-0.8736,-0.672,0,0,-0.8736,-0.672,0,0,-0.8736,-0.672,0,0,-0.8918,-0.686,0,0.06111,-1.12294,-0.8638,0,0.393,-1.12294,-0.8638,0,0.823,-0.81627,-0.6279,0,1.219,-0.8736,-0.672,0,1.565,-0.8736,-0.672,0,1.781,-0.8736,-0.672,0,1.889,-0.8736,-0.672,0,1.878,-1.7745,-1.365,0,1.765,-1.2012,-0.924,0,1.542,-0.3549,-0.273,0,1.212,-0.3913,-0.301,0,0.783,-0.85358,-0.6566,0,0.328,-0.85358,-0.7868,0,0.06,-1.092,-0.84,0,0,-1.092,-0.84,0,0,-0.8918,-0.686,0,0,-0.6734,-0.518,0,0,-0.5551,-0.427
8,0,0,-0.5096,-0.392,0,0,-0.5096,-0.392,0,0,-0.5096,-0.392,0,0,-0.5096,-0.392,0,0,-0.5096,-0.392,0,0,-0.7917,-0.609,0,0.0972,-1.001,-0.77,0,0.572,-1.001,-0.77,0,1.02,-0.89817,-0.6909,0,1.574,-0.5096,-0.392,0,1.763,-0.5096,-0.392,0,1.989,-0.5096,-0.392,0,2.674,-0.5096,-0.392,0,2.602,-0.71799,-0.5523,0,2.345,-1.001,-0.77,0,2.109,-0.53235,-0.4095,0,1.872,-0.58695,-0.4515,0,1.342,-0.217126,-0.16702,0,0.872,-0.217126,-0.1519882,0,0.367,-0.6097,-0.469,0,0,-0.6097,-0.469,0,0,-0.5642,-0.434,0,0,-0.5915,-0.455,0,0,-0.43225,-0.3325
9,0,0,-0.25116,-0.1932,0,0,-0.25116,-0.1932,0,0,-0.25116,-0.1932,0,0,-0.25116,-0.1932,0,0,-0.25116,-0.1932,0,0,-0.23387,-0.1799,0,0.06111,-0.81627,-0.6279,0,0.393,-0.81627,-0.6279,0,0.823,-0.85813,-0.6601,0,1.219,-0.25116,-0.1932,0,1.565,-0.25116,-0.1932,0,1.781,-0.25116,-0.1932,0,1.889,-0.25116,-0.1932,0,1.878,-0.59059,-0.4543,0,1.765,-0.65975,-0.5075,0,1.542,-0.2366,-0.182,0,1.212,-0.3458,-0.266,0,0.783,-0.5805072,-0.446544,0,0.328,-0.5805072,-0.4424,0,0.06,-0.7917,-0.609,0,0,-0.7917,-0.609,0,0,-0.69433,-0.5341,0,0,-0.5278,-0.406,0,0,-0.24843,-0.1911
