,t=1,t=1,t=1,t=1,t=2,t=2,t=2,t=2,t=3,t=3,t=3,t=3,t=4,t=4,t=4,t=4,t=5,t=5,t=5,t=5,t=6,t=6,t=6,t=6,t=7,t=7,t=7,t=7,t=8,t=8,t=8,t=8,t=9,t=9,t=9,t=9,t=10,t=10,t=10,t=10,t=11,t=11,t=11,t=11,t=12,t=12,t=12,t=12,t=13,t=13,t=13,t=13,t=14,t=14,t=14,t=14,t=15,t=15,t=15,t=15,t=16,t=16,t=16,t=16,t=17,t=17,t=17,t=17,t=18,t=18,t=18,t=18,t=19,t=19,t=19,t=19,t=20,t=20,t=20,t=20,t=21,t=21,t=21,t=21,t=22,t=22,t=22,t=22,t=23,t=23,t=23,t=23,t=24,t=24,t=24,t=24
prosumers,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound,production lower bound,production upper bound,load lower bound,load upper bound
1,0,0,-0.3335,-0.253,0,0,-0.3335,-0.253,0,0,-0.3335,-0.253,0,0,-0.3335,-0.253,0,0,-0.3335,-0.253,0,0,-0.92,-0.7015,0,0.0046,-1.955,-1.5065,0,0.04217,-1.6445,-1.265,0,0.495,-0.4255,-0.3335,0,0.467,-0.3335,-0.253,0,1.446,-0.3335,-0.253,0,1.403,-0.3335,-0.253,0,1.709,-0.3335,-0.253,0,1.436,-2.5875,-1.9895,0,1.253,-2.3575,-1.817,0,0.913,-0.58305,-0.4485,0,0.504,-0.644,-0.4945,0,0.055,-1.9435,-1.495,0,0,-2.99,-2.3,0,0,-2.99,-2.3,0,0,-2.1505,-1.656,0,0,-1.219,-0.943,0,0,-1.104,-0.851,0,0,-1.15,-0.8855
2,0,0,-0.50025,-0.3795,0,0,-0.50025,-0.3795,0,0,-0.50025,-0.3795,0,0,-0.50025,-0.3795,0,0,-0.50025,-0.3795,0,0,-1.38,-1.05225,0,0.005,-2.9325,-2.25975,0,0.0673,-2.4495,-1.8975,0,0.627,-0.63825,-0.50025,0,0.845,-0.50025,-0.3795,0,0.692,-0.50025,-0.3795,0,1.692,-0.50025,-0.3795,0,2.019,-0.50025,-0.3795,0,1.989,-3.88125,-2.98425,0,1.456,-3.45,-2.7255,0,1.123,-0.8625,-0.67275,0,0.782,-0.966,-0.74175,0,0.234,-2.91525,-2.2425,0,0.02,-4.485,-3.45,0,0,-4.485,-3.45,0,0,-3.2775,-2.484,0,0,-1.8975,-1.4145,0,0,-1.67325,-1.2765,0,0,-1.725,-1.32825
3,0,0,-0.2093,-0.161,0,0,-0.2093,-0.161,0,0,-0.2093,-0.161,0,0,-0.2093,-0.161,0,0,-0.2093,-0.161,0,0,-0.575,-0.4485,0,0.0046,-1.265,-0.989,0,0.04217,-1.081,-0.8625,0,0.495,-0.345,-0.253,0,0.364,-0.207,-0.161,0,1.446,-0.207,-0.161,0,1.403,-0.207,-0.161,0,1.709,-0.207,-0.161,0,1.436,-1.6675,-1.334,0,1.253,-1.725,-1.38,0,0.913,-0.368,-0.299,0,0.504,-0.552,-0.437,0,0.055,-1.38,-1.104,0,0,-1.955,-1.564,0,0,-1.6445,-1.265,0,0,-1.61,-1.242,0,0,-0.8395,-0.644,0,0,-0.7935,-0.6095,0,0,-0.828,-0.6325
4,0,0,-1.24085,-0.9545,0,0,-1.24085,-0.9545,0,0,-1.24085,-0.9545,0,0,-1.24085,-0.9545,0,0,-1.24085,-0.9545,0,0,-1.6445,-1.265,0,0.0046,-1.77905,-1.3685,0,0.04217,-1.77905,-1.3685,0,0.495,-1.42922,-1.0994,0,0.467,-1.24085,-0.9545,0,1.446,-1.24085,-0.9545,0,1.403,-1.24085,-0.9545,0,1.709,-1.24085,-0.9545,0,1.436,-2.145325,-1.65025,0,1.253,-2.055625,-1.58125,0,0.913,-0.58305,-0.4485,0,0.504,-0.64285,-0.4945,0,0.055,-0.94185,-0.7245,0,0,-1.51294,-1.1638,0,0,-1.95845,-1.5065,0,0,-1.95845,-1.5065,0,0,-1.3754,-1.058,0,0,-1.16909,-0.8993,0,0,-1.06145,-0.8165
5,0,0,-2.49665,-1.9205,0,0,-2.49665,-1.9205,0,0,-2.49665,-1.9205,0,0,-2.49665,-1.9205,0,0,-2.49665,-1.9205,0,0,-2.788175,-2.14475,0,0.005,-2.504125,-1.92625,0,0.0673,-2.504125,-1.92625,0,0.627,-1.791309,-1.37793,0,0.845,-2.49665,-1.9205,0,0.692,-2.49665,-1.9205,0,1.692,-2.49665,-1.9205,0,2.019,-2.49665,-1.9205,0,1.989,-2.49665,-1.9205,0,1.456,-2.66409,-2.0493,0,1.123,-0.874575,-0.67275,0,0.782,-0.964275,-0.74175,0,0.234,-1.10032,-0.8464,0,0.02,-0.80132,-0.6164,0,0,-1.38736,-1.0672,0,0,-1.38736,-1.0672,0,0,-1.30364,-1.0028,0,0,-0.85215,-0.6555,0,0,-0.7475,-0.575
6,0,0,-1.33055,-1.0235,0,0,-1.33055,-1.0235,0,0,-1.33055,-1.0235,0,0,-1.33055,-1.0235,0,0,-1.33055,-1.0235,0,0,-2.13785,-1.6445,0,0.0046,-2.4518,-1.886,0,0.04217,-2.4518,-1.886,0,0.495,-2.49665,-1.9205,0,0.364,-1.33055,-1.0235,0,1.446,-1.33055,-1.0235,0,1.403,-1.33055,-1.0235,0,1.709,-1.33055,-1.0235,0,1.436,-2.8704,-2.208,0,1.253,-3.08568,-2.3736,0,0.913,-0.3887,-0.299,0,0.504,-0.5681,-0.437,0,0.055,-0.548665,-0.42205,0,0,-0.353418,-0.27186,0,0,-0.635375,-0.48875,0,0,-0.635375,-0.48875,0,0,-0.9269,-0.713,0,0,-0.91195,-0.7015,0,0,-0.751985,-0.57845
7,0,0,-1.4352,-1.104,0,0,-1.4352,-1.104,0,0,-1.4352,-1.104,0,0,-1.4352,-1.104,0,0,-1.4352,-1.104,0,0,-1.4651,-1.127,0,0.0046,-1.84483,-1.4191,0,0.04217,-1.84483,-1.4191,0,0.495,-1.341015,-1.03155,0,0.467,-1.4352,-1.104,0,1.446,-1.4352,-1.104,0,1.403,-1.4352,-1.104,0,1.709,-1.4352,-1.104,0,1.436,-2.91525,-2.2425,0,1.253,-1.9734,-1.518,0,0.913,-0.58305,-0.4485,0,0.504,-0.64285,-0.4945,0,0.055,-1.40231,-1.0787,0,0,-1.68038,-1.2926,0,0,-1.794,-1.38,0,0,-1.794,-1.38,0,0,-1.4651,-1.127,0,0,-1.1063,-0.851,0,0,-0.91195,-0.7015
8,0,0,-0.8372,-0.644,0,0,-0.8372,-0.644,0,0,-0.8372,-0.644,0,0,-0.8372,-0.644,0,0,-0.8372,-0.644,0,0,-1.30065,-1.0005,0,0.005,-1.6445,-1.265,0,0.0673,-1.6445,-1.265,0,0.627,-1.475565,-1.13505,0,0.845,-0.8372,-0.644,0,0.692,-0.8372,-0.644,0,1.692,-0.8372,-0.644,0,2.019,-0.8372,-0.644,0,1.989,-1.179555,-0.90735,0,1.456,-1.6445,-1.265,0,1.123,-0.874575,-0.67275,0,0.782,-0.964275,-0.74175,0,0.234,-0.356707,-0.27439,0,0.02,-0.650624,-0.50048,0,0,-1.00165,-0.7705,0,0,-1.00165,-0.7705,0,0,-0.9269,-0.713,0,0,-0.97175,-0.7475,0,0,-0.710125,-0.54625
9,0,0,-0.41262,-0.3174,0,0,-0.41262,-0.3174,0,0,-0.41262,-0.3174,0,0,-0.41262,-0.3174,0,0,-0.41262,-0.3174,0,0,-0.384215,-0.29555,0,0.0046,-1.341015,-1.03155,0,0.04217,-1.341015,-1.03155,0,0.495,-1.409785,-1.08445,0,0.364,-0.41262,-0.3174,0,1.446,-0.41262,-0.3174,0,1.403,-0.41262,-0.3174,0,1.709,-0.41262,-0.3174,0,1.436,-0.970255,-0.74635,0,1.253,-1.083875,-0.83375,0,0.913,-0.3887,-0.299,0,0.504,-0.5681,-0.437,0,0.055,-0.9536904,-0.733608,0,0,-0.94484,-0.7268,0,0,-1.30065,-1.0005,0,0,-1.30065,-1.0005,0,0,-1.140685,-0.87745,0,0,-0.8671,-0.667,0,0,-0.408135,-0.31395
